,movie_id,movie_name,year,genre,,director,cast
18,tt27542289,Por Thozhil,2023,"Action, Crime, Thriller",,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu"
19,tt0454876,Life of Pi,2012,"Adventure, Drama, Fantasy",,Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
20,tt0249371,Asoka,2001,"Action, Biography, Drama",,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
21,tt0838221,The Darjeeling Limited,2007,"Adventure, Comedy, Drama",,Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan"
22,tt5074352,Dangal,2016,"Action, Biography, Drama",,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
23,tt8239946,Tumbbad,2018,"Drama, Fantasy, Horror",,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
24,tt15428134,Dunki,2023,"Comedy, Drama",,Rajkumar Hirani,"Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal"
25,tt24485052,Sirf Ek Bandaa Kaafi Hai,2023,"Crime, Drama, Thriller",,Apoorv Singh Karki,"Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey"
26,tt1954470,Gangs of Wasseypur,2012,"Action, Comedy, Crime",,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
27,tt15433600,Khufiya,2023,"Action, Biography, Crime",,Vishal Bhardwaj,"Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon"
28,tt13751694,Animal,2023,"Action, Crime, Drama",,Sandeep Reddy Vanga,"Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor"
29,tt15891388,Miss Shetty Mr Polishetty,2023,"Comedy, Drama, Romance",,Mahesh Babu P.,"Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata"
30,tt19755170,Bawaal,2023,"Action, Drama, Romance",,Nitesh Tiwari,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena"
31,tt6277462,Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy",,Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni"
32,tt20913276,Ghoomer,2023,"Drama, Sport",,R. Balki,"Amitabh Bachchan, Shabana Azmi, Abhishek Bachchan, Saiyami Kher"
33,tt18411490,Tiger 3,2023,"Action, Adventure, Thriller",,Maneesh Sharma,"Salman Khan, Katrina Kaif"
34,tt8672856,Tu Jhoothi Main Makkaar,2023,"Comedy, Romance",,Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor, Krrish Saini, Anubhav Singh Bassi"
35,tt15501640,Drishyam 2,2022,"Crime, Drama, Mystery",,Abhishek Pathak,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
36,tt0083987,Gandhi,1982,"Biography, Drama, History",,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth"
37,tt2338151,PK,2014,"Comedy, Drama, Sci-Fi",,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
38,tt1188996,My Name Is Khan,2010,"Adventure, Drama, Romance",,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
39,tt3405236,Raees,2017,"Action, Crime, Drama",,Rahul Dholakia,"Shah Rukh Khan, Jaideep Ahlawat, Sunny Leone, Nawazuddin Siddiqui"
40,tt26324936,Rama Banam,2023,"Action, Drama",,Sriwass,"Gopichand, Dimple Hayathi, Jagapathi Babu, Kushboo"
41,tt8108198,Andhadhun,2018,"Crime, Mystery, Thriller",,Sriram Raghavan,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan"
42,tt23036080,Thank You for Coming,2023,Comedy,,Karan Boolani,"Bhumi Pednekar, Dolly Ahluwalia, Shibani Bedi, Saloni Daini"
43,tt22086334,Dream Girl 2,2023,"Comedy, Drama, Romance",,Raaj Shaandilyaa,"Paresh Rawal, Ananya Panday, Ayushmann Khurrana, Annu Kapoor"
44,tt15380630,Kushi,2023,"Comedy, Drama, Romance",,Shiva Nirvana,"Samantha Ruth Prabhu, Vijay Deverakonda, Lakshmi, Murli Sharma"
45,tt0986264,Taare Zameen Par,2007,"Drama, Family",,"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer"
46,tt4430212,Drishyam,2015,"Crime, Drama, Mystery",,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
47,tt22297828,Chor Nikal Ke Bhaga,2023,"Crime, Drama, Thriller",,Ajay Singh,"Yami Gautam, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta"
48,tt10083340,Gangubai Kathiawadi,2022,"Biography, Crime, Drama",,Sanjay Leela Bhansali,"Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari"
49,tt27012110,Gaslight,2023,"Crime, Horror, Mystery",,Pavan Kirpalani,"Sara Ali Khan, Vikrant Massey, Chitrangda Singh, Rahul Dev"
50,tt15245240,The Buckingham Murders,2023,Thriller,,Hansal Mehta,"Kareena Kapoor, Keith Allen, Haqi Ali, Chris Wilson"
51,tt13818368,Fighter,2024,"Action, Adventure, Thriller",,Siddharth Anand,"Hrithik Roshan, Deepika Padukone, Anil Kapoor, Akarsh Alagh"
52,tt15302222,Bholaa,2023,"Action, Adventure, Crime",,Ajay Devgn,"Ajay Devgn, Tabu, Abhishek Bachchan, Amala Paul"
53,tt1024943,Om Shanti Om,2007,"Action, Comedy, Drama",,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher"
54,tt0248126,Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance",,Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan, Hrithik Roshan"
55,tt24268454,The Kerala Story,2023,Drama,,"Sudipto Sen, Vipul Amrutlal Shah","Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani"
56,tt13131350,Vikram Vedha,2022,"Action, Crime, Drama",,"Gayatri, Pushkar","Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf"
57,tt0367110,"Swades: We, the People",2004,"Drama, Musical",,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
58,tt3863552,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",,"Kabir Khan, Mehmet Tutkun","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
59,tt27501039,Bloody Daddy,2023,"Action, Crime, Drama",,Ali Abbas Zafar,"Shahid Kapoor, Vivan Bhatena, Diana Penty, Ronit Roy"
60,tt2980648,The Hundred-Foot Journey,2014,"Comedy, Drama",,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon"
61,tt10811166,The Kashmir Files,2022,Drama,,Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
62,tt22892546,Akelli,2023,"Drama, Thriller",,Pranay Meshram,"Nushrratt Bharuccha, Amir Boutrous, Nishant Dahiya, Vijay Kumar Dogra"
63,tt2283748,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
64,tt12915716,Adipurush,2023,"Action, Adventure, Drama",,Om Raut,"Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage"
65,tt15073166,IB 71,2023,"Action, Thriller",,"Sankalp Reddy, Lee Whittaker","Anupam Kher, Vidyut Jammwal, Dalip Tahil, Nissar Khan"
66,tt5935704,Padmaavat,2018,"Drama, History, Romance",,Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari"
67,tt1562872,Zindagi Na Milegi Dobara,2011,"Comedy, Drama, Musical",,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
68,tt2176013,Jab Tak Hai Jaan,2012,"Drama, Romance",,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Lucy Phelps"
69,tt15128068,Monica O My Darling,2022,"Comedy, Crime, Drama",,Vasan Bala,"Rajkummar Rao, Huma Qureshi, Sikandar Kher, Bagavathi Perumal"
70,tt14099334,Bhediya,2022,"Comedy, Fantasy, Horror",,Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal"
71,tt1562871,Ra.One,2011,"Action, Adventure, Sci-Fi",,Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami"
72,tt10028196,Laal Singh Chaddha,2022,"Comedy, Drama, Romance",,Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf"
73,tt1285241,Don 2,2011,"Action, Crime, Thriller",,Farhan Akhtar,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas"
74,tt15654262,Chup,2022,"Crime, Drama, Mystery",,R. Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt"
75,tt0172684,Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical",,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
76,tt0461936,Don,2006,"Action, Crime, Thriller",,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar"
77,tt0238936,Devdas,2002,"Drama, Musical, Romance",,Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
78,tt8130968,Badla,2019,"Crime, Drama, Mystery",,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel"
79,tt11905536,Gumraah,2023,"Action, Crime, Drama",,Vardhan Ketkar,"Aditya Roy Kapoor, Mrunal Thakur, Ronit Roy, Vedika Pinto"
80,tt2350496,The Lunchbox,2013,"Drama, Romance",,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
81,tt15576460,Zara Hatke Zara Bachke,2023,"Comedy, Drama, Family",,Laxman Utekar,"Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee"
82,tt0891592,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy",,Andrzej Bartkowiak,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein"
83,tt13334578,Ganapath,2023,"Action, Drama, Sci-Fi",,Vikas Bahl,"Tiger Shroff, Himanshu Jaykar, Kriti Sanon, Amitabh Bachchan"
84,tt12735488,Kalki 2898-AD,2024,"Action, Drama, Fantasy",,Nag Ashwin,"Deepika Padukone, Amitabh Bachchan, Dulquer Salmaan, Disha Patani"
85,tt0347304,Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",,Nikkhil Advani,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
86,tt0361411,Bride & Prejudice,2004,"Comedy, Drama, Musical",,Gurinder Chadha,"Martin Henderson, Aishwarya Rai Bachchan, Nadira Babbar, Anupam Kher"
87,tt6571548,The White Tiger,2021,"Crime, Drama",,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
88,tt27989067,Lust Stories 2,2023,"Drama, Romance",,"R. Balki, Sujoy Ghosh, Amit Ravindernath Sharma, Konkona Sen Sharma","Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur"
89,tt3735246,Bajirao Mastani,2015,"Action, Drama, History",,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi"
90,tt0195002,Kaun?,1999,"Mystery, Thriller",,Ram Gopal Varma,"Urmila Matondkar, Manoj Bajpayee, Sushant Singh"
91,tt5946128,Dear Zindagi,2016,"Drama, Romance",,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
92,tt9052870,Chhichhore,2019,"Comedy, Drama, Romance",,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar"
93,tt15145764,Freddy,2022,"Drama, Mystery, Romance",,Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
